Internship_ID,Company,Role,Sector,Location,Stipend(INR),Duration(Months),Required_Skills,Mode,Openings,Education_Requirement,Experience_Level
INT0001,Microsoft,Software Engineer Intern,Software Development,Chennai,10000,2,"Data Structures, C++",Onsite,2,Bachelor,Fresher
INT0002,Google,AI Research Intern,AI/ML,Kolkata,10000,5,"PyTorch, NLP",Onsite,9,Bachelor,Fresher
INT0003,TCS,Web Developer Intern,Web Development,Chennai,8000,3,"Bootstrap, Node.js, REST APIs, HTML/CSS/JS",Onsite,7,Bachelor,Fresher
INT0004,Google,Data Analyst Intern,Data Science,Mumbai,5000,5,"Pandas, Tableau, Python, Statistics",Onsite,10,Bachelor,Fresher
INT0005,TCS,AI Research Intern,AI/ML,Hyderabad,15000,3,"Python, Machine Learning, NLP",Onsite,6,Bachelor,Fresher
INT0006,Google,Software Engineer Intern,Software Development,Pune,10000,4,"Data Structures, Java, Algorithms, Linux",Onsite,9,Bachelor,1-2 Years
INT0007,HCL,AI Research Intern,AI/ML,Mumbai,15000,1,"Deep Learning, TensorFlow",Onsite,10,Bachelor,Fresher
INT0008,Google,Web Developer Intern,Web Development,Hyderabad,12000,5,"React, SQL, Node.js",Onsite,4,Bachelor,Fresher
INT0009,Google,Software Engineer Intern,Software Development,Remote,15000,5,"Data Structures, Java",Onsite,7,Bachelor,2-4 Years
INT0010,IBM,Software Engineer Intern,Software Development,Delhi,12000,4,"Algorithms, C++, Data Structures, Python",Onsite,1,High School,Fresher
INT0011,Microsoft,Software Engineer Intern,Software Development,Bangalore,10000,3,"C++, Data Structures, Algorithms, Java",Remote,9,Bachelor,Fresher
INT0012,Amazon,Cloud Intern,Cloud Computing,Chennai,20000,1,"AWS, Cloud, Terraform",Onsite,8,Diploma,Fresher
INT0013,Wipro,Web Developer Intern,Web Development,Delhi,12000,2,"Bootstrap, REST APIs, React, SQL",Hybrid,4,Bachelor,Fresher
INT0014,Google,ML Engineer Intern,AI/ML,Pune,10000,3,"TensorFlow, Python, Machine Learning, PyTorch",Onsite,9,Bachelor,Fresher
INT0015,Oracle,AI Research Intern,AI/ML,Pune,10000,5,"Python, Deep Learning",Onsite,8,Bachelor,Fresher
INT0016,Google,Business Analyst Intern,Business Analytics,Mumbai,8000,1,"SQL, Requirements Gathering, Power BI",Onsite,7,Bachelor,Fresher
INT0017,HCL,Software Engineer Intern,Software Development,Remote,12000,1,"Git, Data Structures",Onsite,4,Bachelor,Fresher
INT0018,Infosys,AI Research Intern,AI/ML,Bangalore,10000,1,"TensorFlow, PyTorch",Remote,9,Diploma,1-2 Years
INT0019,HCL,Web Developer Intern,Web Development,Kolkata,12000,1,"Bootstrap, SQL, React",Onsite,1,Bachelor,Fresher
INT0020,Oracle,Cybersecurity Intern,Cybersecurity,Bangalore,8000,2,"Wireshark, Penetration Testing, Python",Onsite,1,Diploma,Fresher
